"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NMGZYT5J","journalArticle","2014","Rapacciuolo, Giovanni; Maher, Sean P.; Schneider, Adam C.; Hammond, Talisin T.; Jabis, Meredith D.; Walsh, Rachel E.; Iknayan, Kelly J.; Walden, Genevieve K.; Oldfather, Meagan F.; Ackerly, David D.; Beissinger, Steven R.","Beyond a warming fingerprint: individualistic biogeographic responses to heterogeneous climate change in California","Global Change Biology","","1354-1013, 1365-2486","10.1111/gcb.12638","https://onlinelibrary.wiley.com/doi/10.1111/gcb.12638","Abstract                            Understanding recent biogeographic responses to climate change is fundamental for improving our predictions of likely future responses and guiding conservation planning at both local and global scales. Studies of observed biogeographic responses to 20th century climate change have principally examined effects related to ubiquitous increases in temperature – collectively termed a warming fingerprint. Although the importance of changes in other aspects of climate – particularly precipitation and water availability – is widely acknowledged from a theoretical standpoint and supported by paleontological evidence, we lack a practical understanding of how these changes interact with temperature to drive biogeographic responses. Further complicating matters, differences in life history and ecological attributes may lead species to respond differently to the same changes in climate. Here, we examine whether recent biogeographic patterns across California are consistent with a warming fingerprint. We describe how various components of climate have changed regionally in California during the 20th century and review empirical evidence of biogeographic responses to these changes, particularly elevational range shifts. Many responses to climate change do not appear to be consistent with a warming fingerprint, with downslope shifts in elevation being as common as upslope shifts across a number of taxa and many demographic and community responses being inconsistent with upslope shifts. We identify a number of potential direct and indirect mechanisms for these responses, including the influence of aspects of climate change other than temperature (e.g., the shifting seasonal balance of energy and water availability), differences in each taxon's sensitivity to climate change, trophic interactions, and land‐use change. Finally, we highlight the need to move beyond a warming fingerprint in studies of biogeographic responses by considering a more multifaceted view of climate, emphasizing local‐scale effects, and including               a priori               knowledge of relevant natural history for the taxa and regions under study.","2014-09","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:39","2841-2855","","9","20","","Global Change Biology","Beyond a warming fingerprint","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\VEIBYPLA\Rapacciuolo et al. - 2014 - Beyond a warming fingerprint individualistic biog.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRBC8WRZ","journalArticle","2011","Pritchard, S. G.","Soil organisms and global climate change","Plant Pathology","","0032-0862, 1365-3059","10.1111/j.1365-3059.2010.02405.x","https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-3059.2010.02405.x","Climate changes will influence soil organisms both directly (warming) and indirectly (warming and elevated CO               2               ) via changes in quantity and quality of plant‐mediated soil C inputs. Elevated atmospheric CO               2               commonly stimulates flow of organic C into the soil system, increases root production and exudation, but decreases litter quality. There is little evidence that atmospheric CO               2               enrichment will increase total soil organic matter content because greater C flow into soil stimulates the soil food web, often leading to equivalent increases in soil CO               2               efflux. Effects of warming on C allocation belowground, on the other hand, will depend largely on the temperature optima of different plant species. Warming is likely to increase the rate of soil organic matter decomposition by stimulating soil heterotrophic respiration, although some degree of acclimatization to warming is likely. Mycorrhizal and N               2               ‐fixing relationships are generally enhanced by CO               2               enrichment, but effects of warming are highly variable. Data suggest that energy flow through fungal pathways may be enhanced relative to bacterial pathways by both warming and atmospheric CO               2               enrichment. Whether the shift toward fungal domination of soils will increase soilborne fungal disease occurrence in the future is still an open question. Plant heat and drought tolerance, along with resistance to pathogens in warmer and wetter soils, may be achieved, to some unknown extent, by exploitation and management of beneficial soil organisms. Further study is needed to develop a more holistic understanding of the effects of climate change on belowground processes.","2011-02","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:41","82-99","","1","60","","Plant Pathology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCBTPUHP","journalArticle","2022","Schuur, Edward A.G.; Abbott, Benjamin W.; Commane, Roisin; Ernakovich, Jessica; Euskirchen, Eugenie; Hugelius, Gustaf; Grosse, Guido; Jones, Miriam; Koven, Charlie; Leshyk, Victor; Lawrence, David; Loranty, Michael M.; Mauritz, Marguerite; Olefeldt, David; Natali, Susan; Rodenhizer, Heidi; Salmon, Verity; Schädel, Christina; Strauss, Jens; Treat, Claire; Turetsky, Merritt","Permafrost and Climate Change: Carbon Cycle Feedbacks From the Warming Arctic","Annual Review of Environment and Resources","","1543-5938, 1545-2050","10.1146/annurev-environ-012220-011847","https://www.annualreviews.org/doi/10.1146/annurev-environ-012220-011847","Rapid Arctic environmental change affects the entire Earth system as thawing permafrost ecosystems release greenhouse gases to the atmosphere. Understanding how much permafrost carbon will be released, over what time frame, and what the relative emissions of carbon dioxide and methane will be is key for understanding the impact on global climate. In addition, the response of vegetation in a warming climate has the potential to offset at least some of the accelerating feedback to the climate from permafrost carbon. Temperature, organic carbon, and ground ice are key regulators for determining the impact of permafrost ecosystems on the global carbon cycle. Together, these encompass services of permafrost relevant to global society as well as to the people living in the region and help to determine the landscape-level response of this region to a changing climate.","2022-10-17","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:45","343-371","","1","47","","Annu. Rev. Environ. Resour.","Permafrost and Climate Change","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\U57VNFSX\Schuur et al. - 2022 - Permafrost and Climate Change Carbon Cycle Feedba.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPMDV8QW","book","2009","Karl, Thomas R.; Melillo, Jerry M.; Peterson, Thomas C.","Global climate change impacts in the United States: a state of knowledge report from the US Global Change Research Program","","","","","https://aquadocs.org/handle/1834/20072","","2009","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:47","","","","","","","Global climate change impacts in the United States","","","","","Cambridge University Press","","","","","","","Google Scholar","","","","C:\Users\kjmaier\Zotero\storage\ANTZ6YE6\Karl et al. - 2009 - Global climate change impacts in the United States.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GQGAVBA","journalArticle","2013","Ebi, Kristie L.; Mills, David","Winter mortality in a warming climate: a reassessment","WIREs Climate Change","","1757-7780, 1757-7799","10.1002/wcc.211","https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.211","Abstract                            In temperate climates, mortality is higher in the winter than the summer. Most wintertime deaths are attributed to cardiovascular and respiratory disease, with hypothermia from extreme cold accounting for a negligible share of all recorded deaths. International and national assessments of the health risks of climate change often conclude that increased temperatures from climate change will likely reduce winter mortality. This article examines the support for this hypothesis. We find that although there is a physiological basis for increased cardiovascular and respiratory disease mortality during winter months, the limited evidence suggests cardiovascular disease mortality is only weakly associated with temperature. Although respiratory disease mortality shows a stronger seasonal relationship with colder temperatures, cold alone does not explain infection rates. Further, respiratory disease mortality is a relatively small proportion of winter deaths. Therefore, assuming no changes in acclimatization and the degree to which temperature‐related deaths are prevented, climate change may alter the balance of deaths between winters and summers, but is unlikely to dramatically reduce overall winter mortality rates.               WIREs Clim Change               2013, 4:203–212. doi: 10.1002/wcc.211                                         This article is categorized under:                                                   Vulnerability and Adaptation to Climate Change > Learning from Cases and Analogies","2013-05","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:47","203-212","","3","4","","WIREs Climate Change","Winter mortality in a warming climate","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\7EYUB37J\Ebi and Mills - 2013 - Winter mortality in a warming climate a reassessm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3EAAU58","journalArticle","2009","Keller, Charles F.","Global warming: a review of this mostly settled issue","Stochastic Environmental Research and Risk Assessment","","1436-3240, 1436-3259","10.1007/s00477-008-0253-3","http://link.springer.com/10.1007/s00477-008-0253-3","","2009-07","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:49","643-676","","5","23","","Stoch Environ Res Risk Assess","Global warming","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\28BUWWV3\intermediateredirectforezproxy.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJS2F8KS","journalArticle","2013","Amin, Abul Quasem Al; Kari, Fatimah; Alam, Gazi Mahabubul","Global warming and climate change: prospects and challenges toward long-term policies in Bangladesh","International Journal of Global Warming","","1758-2083, 1758-2091","10.1504/IJGW.2013.051483","http://www.inderscience.com/link.php?id=51483","","2013","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:53","67","","1","5","","IJGW","Global warming and climate change","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\NMW7E9HZ\Amin et al. - 2013 - Global warming and climate change prospects and c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDBJZYFR","journalArticle","2014","Ming, Tingzhen; Liu, Wei; Caillol, Sylvain","Fighting global warming by climate engineering: Is the Earth radiation management and the solar radiation management any option for fighting climate change?","Renewable and Sustainable Energy Reviews","","","","https://www.sciencedirect.com/science/article/pii/S1364032113008460","","2014","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:55","792–834","","","31","","","Fighting global warming by climate engineering","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\SUZPYMKY\S1364032113008460.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHWMJ5F6","journalArticle","2007","Afzal, Brenda M.","Global warming: A public health concern","Online Journal of Issues in Nursing","","","","https://search.proquest.com/openview/7ee40c7c130d9a0a86addf778af8f431/1?pq-origsite=gscholar&cbl=43860","","2007","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:59","N_A","","2","12","","","Global warming","","","","","","","","","","","","Google Scholar","","Publisher: American Nurses Association","","C:\Users\kjmaier\Zotero\storage\TU6DE7BL\229554480.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CATY3P8T","journalArticle","2023","Noethen, Maximilian; Hemmerle, Hannes; Bayer, Peter","Sources, intensities, and implications of subsurface warming in times of climate change","Critical Reviews in Environmental Science and Technology","","1064-3389, 1547-6537","10.1080/10643389.2022.2083899","https://www.tandfonline.com/doi/full/10.1080/10643389.2022.2083899","","2023-03-04","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:50:59","700-722","","5","53","","Critical Reviews in Environmental Science and Technology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\kjmaier\Zotero\storage\B3ETGP76\Noethen et al. - 2023 - Sources, intensities, and implications of subsurfa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82N6W5U7","journalArticle","2021","Ranney, Michael Andrew; Velautham, Leela","Climate change cognition and education: Given no silver bullet for denial, diverse information-hunks increase global warming acceptance","Current Opinion in Behavioral Sciences","","","","https://www.sciencedirect.com/science/article/pii/S2352154621001431","","2021","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:51:01","139–146","","","42","","","Climate change cognition and education","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\9LZ5SCD6\S2352154621001431.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU7QGA2Z","journalArticle","2011","Caillol, Sylvain","Fighting global warming: the potential of photocatalysis against CO2, CH4, N2O, CFCs, tropospheric O3, BC and other major contributors to climate change","Journal of Photochemistry and Photobiology C: Photochemistry Reviews","","","","https://www.sciencedirect.com/science/article/pii/S1389556711000281","","2011","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:51:05","1–19","","1","12","","","Fighting global warming","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\4FNYIRML\S1389556711000281.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R97DSHV2","journalArticle","2009","Florides, Georgios A.; Christodoulides, Paul","Global warming and carbon dioxide through sciences","Environment international","","","","https://www.sciencedirect.com/science/article/pii/S0160412008001232","","2009","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:51:07","390–401","","2","35","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\T3U9RU42\S0160412008001232.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TR3A6K5V","journalArticle","2012","VijayaVenkataRaman, Sanjairaj; Iniyan, Sanjairaj; Goic, Ranko","A review of climate change, mitigation and adaptation","Renewable and Sustainable Energy Reviews","","","","https://www.sciencedirect.com/science/article/pii/S136403211100459X","","2012","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:51:09","878–897","","1","16","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\kjmaier\Zotero\storage\TSUZMCNT\S136403211100459X.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RJ3K5M2","journalArticle","2022","Alavipanah, Seyed Kazem; Mansourmoghaddam, Mohammad; Gomeh, Zinat; Galehban, Eslam; Hamzeh, Saeid","The reciprocal effect of global warming and climatic change (new perspective): A review","Desert","","","","https://jdesert.ut.ac.ir/article_90831.html","","2022","2024-02-01 02:51:11","2024-02-01 02:51:11","2024-02-01 02:51:11","291–305","","2","27","","","The reciprocal effect of global warming and climatic change (new perspective)","","","","","","","","","","","","Google Scholar","","Publisher: University of Tehran","","C:\Users\kjmaier\Zotero\storage\9NGGLMEX\Alavipanah et al. - 2022 - The reciprocal effect of global warming and climat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
